id,abstract
1,"he field of machine learning has proven to be a powerful approach in smart manufacturing and processing in the chemical and process industries. This review provides a systematic overview of current state of artificial intelligence and machine learning and their applications in textile, nuclear power plant, fertilizer, water treatment, and oil and gas industries. Moreover, this study reveals the current dominant machine learning methods, pre and post processing of models, increased utilization of machine learning in terms of fault detection, prediction, optimization, quality control, and maintenance in these sectors. In addition, this review gives the insight into the actual benefits and impact of each method, and complications in their extensive deployment. Finally in the current impressive state, challenges, future development in terms of algorithm and infrastructure aspects are highlighted."
2,"Volunteer cotton (VC) plants growing in the fields of inter-seasonal and rotated crops, like corn, can serve as hosts to boll weevil pests once they reach pin-head square stage (5–6 leaf stage). The VC plants therefore need to be detected, located, and destroyed or sprayed. In this paper, we present a study on using deep learning (DL) to detect VC plants in a corn field using RGB images collected with an unmanned aerial vehicle (UAV). The objectives were (i) to determine whether the YOLOv3 DL algorithm could be used for VC detection in a corn field based on UAV-derived RGB images, and (ii) to investigate the behavior of YOLOv3 on images at three different pixel scales (320 × 320, S1; 416 × 416, S2; and 512 × 512, S3). The metrics used to evaluate the results were average precision (AP), mean average precision (mAP) and F1-score at 95 % confidence level. It was found that YOLOv3 was able to detect VC plants in corn field at an average detection accuracy of more than 80 %, F1-score of 78.5 % and mAP of 80.38 %. With respect to images size, no significant differences existed for mAP among the three scales, but a significant difference was found for AP between S1 and S3 (p = 0.04) and between S2 and S3 (p = 0.02). A significant difference was also found for F1-score between S2 and S3 (p = 0.02). The overall goal of this study was to minimize boll weevil pest infestation by maximizing the true positive detection of VC plants in a corn field which is represented by the mAP values. The lack of significant differences of these at all three scales indicated that the trained YOLOv3 model can be used for VC detection irrespective of the three input image sizes. The capability of YOLOv3 to detect VC plants demonstrates the potential of DL algorithms for real-time detection and mitigation using computer vision and a spot-spray capable UAV."
3,"Biomedical image analysis methods are gradually shifting towards computer-aided solutions from manual investigations to save time and improve the quality of the diagnosis. Deep learning-assisted biomedical image analysis is one of the major and active research areas. Several researchers are working in this domain because deep learning-assisted computer-aided diagnostic solutions are well known for their efficiency. In this chapter, a comprehensive overview of the deep learning-assisted biomedical image analysis methods is presented. This chapter can be helpful for the researchers to understand the recent developments and drawbacks of the present systems. The discussion is made from the perspective of the computer vision, pattern recognition, and artificial intelligence. This chapter can help to get future research directions to exploit the blessings of deep learning techniques for biomedical image analysis."
4,"Background In recent years, machine learning (ML) has had notable success in providing automated analyses of neuroimaging studies, and its role is likely to increase in the future. Thus, it is paramount for clinicians to understand these approaches, gain facility with interpreting ML results, and learn how to assess algorithm performance."
5,"Due to the digitalization of life and the fiercely competitive global market, the fourth industrial revolution was inevitable. Industry 4.0 utilizes several interconnected technologies such as artificial intelligence (AI), machine learning (ML), big data (BD) to provide new solutions. The aim of this article is to provide an overview of the vital role that these technologies play in the realization and adoption of Industry 4.0, the numerous merits they can yield, and the multitude of contemporary solutions, applications, and services they can provide. Therefore, this article presents the concept of Industry 4.0 as well as those of AI, ML, BD, and big data analytics (BDA) technologies. Moreover, it goes over the potentials that these technologies could offer and the merits they could yield when applied within the context of Industry 4.0. Finally, it presents the summary of the main findings, open research issues and challenges, draws conclusions, and provides directions for future research."
6,"Transformer architectures are highly expressive because they use self-attention mechanisms to encode long-range dependencies in the input sequences. In this paper, we present a literature review on Transformer-based (TB) models, providing a detailed overview of each model in comparison to the Transformer’s standard architecture. This survey focuses on TB models used in the field of Natural Language Processing (NLP) for textual-based tasks. We begin with an overview of the fundamental concepts at the heart of the success of these models. Then, we classify them based on their architecture and training mode. We compare the advantages and disadvantages of popular techniques in terms of architectural design and experimental value. Finally, we discuss open research, directions, and potential future work to help solve current TB application challenges in NLP."
7,"To stop climate change caused by the anthropogenic greenhouse effect, the amount of research project funding to develop and demonstrate solutions for carbon emission reduction has increased. Focused topics and procedures of research projects are always presented in text-based descriptions. Natural language processing offers the possibility to process and analyze data like this. In this work, we used natural language processing to extract keywords from descriptions of energy research projects with the algorithms TextRank and TF-IDF which has not been done for this kind of data basis before. A survey-based validation showed TF-IDF to be better suited for our data basis. Extracted keywords were used to conduct a keyword network analysis and calculate static and dynamic indices of the words concerning their recent importance and development over the past two decades. Further insights are shown by allocating the research projects’ amounts of funding to the extracted keywords. We found energy research to be more focused on individual components in the past. The last years were characterized by projects on energy systems and the interaction of renewable energy technologies and their integration into existing infrastructure. Finally, the results were compared with governmental research programs and we could analyze a comprehensive agreement."
8,"This paper reviews the current state of ChatGPT technology in finance and its potential to improve existing NLP-based financial applications. We discuss the ethical and regulatory considerations, as well as potential future research directions in the field. The literature suggests that ChatGPT has the potential to improve NLP-based financial applications, but also raises ethical and regulatory concerns that need to be addressed. The paper highlights the need for research in robustness, interpretability, and ethical considerations to ensure responsible use of ChatGPT technology in finance."
9,"With advancements in sequencing and proteomics approaches, computational functional annotation of proteins is becoming increasingly crucial. Among these annotations, prediction of post-translational modification (PTM) sites and prediction of function given a protein sequence are two very important problems. Recently, there have been several breakthroughs in Natural Language Processing (NLP) area. Consequently, we have observed an increase in the application of NLP-based techniques in the field of protein bioinformatics. In this chapter, we review various NLP-based encoding techniques for representation of protein sequences. Especially, we classify these approaches based on local/sparse encodings, distributed representation encodings, context-independent word embeddings, contextual word embedding and recent language models based pre-trained encodings. We summarize some of the recent approaches that make use of these NLP-based encodings for the prediction of various types of protein PTM sites and protein functions based on Gene Ontology (GO). Finally, we provide an outlook on possible future research directions for the NLP-based approaches for PTM sites and protein function predictions."
10,"Protein structure and function prediction are instrumental areas in the bioinformatics field. They are important for a number of applications in rational drug discovery, disease analysis, and many others. Protein sequences and natural languages share some similarities. Therefore, many techniques derived from natural language processing (NLP) have been applied to the protein structure and function prediction. In this chapter, we discuss sequence-based predictors of protein structure and function that utilize techniques derived from NLP field. We include methods that target protein sequence analysis, fold recognition, identification of intrinsically disordered regions/proteins, and prediction of protein-nucleic acids binding. The concepts and computational methods discussed in this chapter will be especially useful for the researchers who are working in the related field. We also aim to bring new computational NLP techniques into the protein structure and function prediction area."
