,batting_team,bowling_team,city,current_score,pp,balls_left,wickets_left,crr,Top_Order,Middle_Order,Lower_Order,Tail,Pressure,Aggression_Mode,last_five,Death_Overs,runs_x
39447,South Africa,India,Johannesburg,171,0,15,7,9.771428571428572,0,1,0,0,0,1,61.0,1,219
6030,India,South Africa,Cape Town,66,0,71,9,8.081632653061224,1,0,0,0,0,0,35.0,0,172
37472,West Indies,Sri Lanka,Pallekele,120,0,9,6,6.486486486486487,0,0,1,0,1,1,47.0,1,129
32244,Australia,England,Melbourne,118,0,18,5,6.9411764705882355,0,0,1,0,1,0,38.0,1,147
52622,South Africa,Sri Lanka,Johannesburg,69,0,56,5,6.46875,0,0,1,0,1,0,29.0,0,113
44020,Pakistan,South Africa,Dubai,82,0,13,3,4.598130841121495,0,0,0,1,1,0,23.0,1,98
32420,New Zealand,Sri Lanka,Lauderhill,16,1,86,5,2.823529411764706,0,0,1,0,1,0,14.0,0,81
26686,England,South Africa,Johannesburg,159,0,24,7,9.9375,0,1,0,0,0,1,62.0,1,202
18852,West Indies,England,London,149,0,30,6,9.933333333333334,0,0,1,0,0,1,51.0,0,208
56621,Sri Lanka,Australia,Colombo,64,0,59,6,6.295081967213115,0,0,1,0,1,0,21.0,0,128
7356,Pakistan,West Indies,Karachi,166,0,9,5,8.972972972972974,0,0,1,0,0,0,42.0,1,203
30840,Pakistan,Australia,Birmingham,86,0,54,6,7.818181818181818,0,0,1,0,0,0,43.0,0,167
1165,India,England,Nagpur,54,0,78,9,7.714285714285714,1,0,0,0,0,0,44.0,0,144
30414,Australia,England,Barbados,142,0,4,4,7.344827586206897,0,0,0,1,0,1,51.0,1,147
17742,England,Pakistan,Bristol,103,0,28,5,6.717391304347826,0,0,1,0,1,0,39.0,1,144
56176,Pakistan,Bangladesh,Mirpur,48,0,46,6,3.891891891891892,0,0,1,0,1,0,22.0,0,129
8136,South Africa,Pakistan,Cape Town,79,0,66,9,8.777777777777779,1,0,0,0,0,1,52.0,0,192
6186,Sri Lanka,India,Mumbai,85,0,43,5,6.623376623376624,0,0,1,0,1,0,32.0,0,135
